部门名称,官方参数1,2026实际编制,本+研+师_预测,本+研+师_差值,本+研+师+是否公课_预测,本+研+师+是否公课_差值,本+研+师+公课数量_预测,本+研+师+公课数量_差值,本+研+师+公课学分_预测,本+研+师+公课学分_差值,本+研+师+留_预测,本+研+师+留_差值,本+研+师+留+是否公课_预测,本+研+师+留+是否公课_差值,本+研+师+长留_预测,本+研+师+长留_差值,本+研+师+长留+公课学分_预测,本+研+师+长留+公课学分_差值,本+研+师+留+公课学分_预测,本+研+师+留+公课学分_差值,本+研+师+长留+公课数量_预测,本+研+师+长留+公课数量_差值,本+研+师+长留+是否公课_预测,本+研+师+长留+是否公课_差值,本+研+师+留+公课数量_预测,本+研+师+留+公课数量_差值,折合学生数+是否公课_预测,折合学生数+是否公课_差值,折合学生数+公课数量_预测,折合学生数+公课数量_差值,折合学生数+公课学分_预测,折合学生数+公课学分_差值,折合学生数_预测,折合学生数_差值
医学院,18.39,22,19.27,0.87,18.75,0.36,19.17,0.78,19.1,0.71,19.58,1.19,19.05,0.66,19.17,0.78,19.06,0.67,19.33,0.94,19.16,0.77,18.97,0.58,19.38,0.99,19.88,1.49,20.54,2.15,20.97,2.58,19.51,1.12
设计创意学院,6.37,9,6.6,0.23,6.92,0.55,6.99,0.63,7.0,0.63,7.79,1.42,7.79,1.42,7.37,1.0,7.53,1.16,7.81,1.44,7.53,1.16,7.53,1.16,7.83,1.46,7.01,0.64,7.09,0.72,6.94,0.57,7.12,0.75
人文学院,8.4,7,8.0,-0.41,7.82,-0.58,8.23,-0.18,8.38,-0.03,7.86,-0.54,7.79,-0.62,7.89,-0.51,8.12,-0.29,8.02,-0.38,7.95,-0.46,7.72,-0.68,7.87,-0.54,7.13,-1.27,6.32,-2.08,6.22,-2.19,6.49,-1.91
外国语学院,10.71,12,10.14,-0.56,10.02,-0.69,9.7,-1.01,9.39,-1.32,9.69,-1.01,9.45,-1.26,9.6,-1.11,9.19,-1.52,9.31,-1.4,9.59,-1.12,9.4,-1.31,9.66,-1.04,7.02,-3.69,9.65,-1.06,9.88,-0.83,6.24,-4.47
经济与管理学院,16.25,22,17.24,0.99,17.57,1.32,16.98,0.73,17.05,0.8,19.23,2.97,19.78,3.53,19.31,3.06,19.07,2.82,18.88,2.63,19.09,2.84,19.87,3.62,18.85,2.6,14.32,-1.93,16.0,-0.25,16.1,-0.15,15.27,-0.98
政治与国际关系学院,5.0,3,5.58,0.58,5.81,0.81,5.74,0.74,5.79,0.8,5.93,0.94,6.03,1.04,5.82,0.83,5.92,0.93,5.94,0.95,5.86,0.86,6.02,1.02,5.89,0.89,5.06,0.07,5.05,0.06,5.04,0.05,5.32,0.33
艺术与传媒学院,7.43,7,6.79,-0.64,6.57,-0.86,7.09,-0.34,7.22,-0.21,7.44,0.01,7.5,0.07,7.24,-0.19,7.49,0.05,7.63,0.19,7.36,-0.07,7.21,-0.23,7.51,0.08,7.4,-0.03,6.84,-0.6,6.69,-0.74,7.01,-0.42
上海国际知识产权学院,3.84,4,5.34,1.5,5.45,1.61,5.33,1.49,5.34,1.51,5.71,1.88,5.65,1.81,5.48,1.65,5.47,1.63,5.59,1.75,5.45,1.61,5.54,1.7,5.57,1.73,4.84,1.01,4.82,0.98,4.84,1.0,5.11,1.28
马克思主义学院,6.48,8,6.95,0.47,6.47,-0.02,6.69,0.2,6.92,0.43,6.81,0.33,6.57,0.08,6.85,0.36,6.83,0.34,6.9,0.42,6.7,0.21,6.53,0.05,6.73,0.25,6.66,0.18,6.31,-0.17,6.66,0.18,5.14,-1.35
国际文化交流学院,3.6,4,4.51,0.91,4.52,0.92,4.34,0.74,4.38,0.78,4.53,0.93,4.86,1.26,4.82,1.22,5.1,1.5,4.9,1.3,5.06,1.46,4.87,1.27,4.9,1.3,4.8,1.2,4.77,1.17,4.8,1.2,5.07,1.47
法学院,5.59,6,5.89,0.3,6.18,0.59,6.2,0.61,6.23,0.64,6.03,0.45,6.3,0.72,6.14,0.56,6.33,0.74,6.19,0.6,6.28,0.69,6.43,0.84,6.17,0.58,5.88,0.29,5.91,0.33,5.82,0.23,6.08,0.5
体育部（国际足球学院）,7.08,11,7.01,-0.07,7.29,0.21,7.16,0.08,7.29,0.21,6.97,-0.11,7.18,0.1,6.94,-0.14,7.08,0.0,7.01,-0.08,6.93,-0.15,7.29,0.21,6.86,-0.22,5.07,-2.01,5.07,-2.01,5.06,-2.03,5.33,-1.75
医学与生命科学部,null,2,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,
出国培训学院，留德预备部,null,0,3.97,,3.91,,3.76,,3.77,,3.88,,3.78,,3.87,,3.75,,3.75,,3.75,,3.82,,3.73,,4.14,,4.07,,4.23,,4.42,
网络教育学院，继续教育学院,null,9,4.02,,3.98,,3.82,,3.83,,4.36,,4.14,,3.93,,3.82,,4.16,,3.81,,3.89,,4.14,,4.14,,4.07,,4.23,,4.43,
中德学院,null,3,4.03,,4.01,,3.91,,3.89,,3.94,,3.89,,3.98,,3.89,,3.86,,3.91,,3.95,,3.87,,4.47,,4.42,,4.5,,4.75,
创新创业学院,null,8,3.83,,3.76,,3.61,,3.61,,3.73,,3.62,,3.72,,3.59,,3.6,,3.6,,3.65,,3.59,,4.14,,4.07,,4.23,,4.42,
新生院,null,3,3.73,,3.69,,3.57,,3.57,,3.63,,3.57,,3.66,,3.57,,3.55,,3.57,,3.62,,3.53,,4.22,,4.15,,4.29,,4.5,
国豪书院（未来技术学院）,null,8,8.36,,7.93,,7.98,,7.86,,8.09,,7.65,,7.74,,7.48,,7.75,,7.65,,7.52,,7.85,,11.54,,11.8,,11.7,,11.28,
国家卓越工程师学院，国际工程师学院,null,7,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,
中意工程创新学院,null,4,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,
启迪书院,null,4,7.03,,6.73,,6.8,,6.72,,6.7,,6.48,,6.53,,6.45,,6.55,,6.56,,6.47,,6.63,,9.73,,9.92,,9.76,,9.61,
口腔医学院,null,0,3.91,,4.02,,4.07,,4.03,,3.84,,4.03,,4.03,,4.13,,3.98,,4.15,,4.17,,4.02,,5.24,,5.24,,5.21,,5.49,
上海自主智能无人系统科学中心,null,11,3.8,,3.73,,3.58,,3.58,,3.7,,3.59,,3.69,,3.56,,3.57,,3.57,,3.61,,3.56,,4.14,,4.07,,4.23,,4.42,
同济大学上海国际设计创新学院,null,0,4.12,,4.11,,4.04,,4.0,,4.02,,4.0,,4.08,,4.01,,3.96,,4.04,,4.07,,3.99,,4.65,,4.61,,4.66,,4.93,
【汇总】R²,,,0.832,,0.85,,0.822,,0.816,,0.863,,0.846,,0.846,,0.846,,0.857,,0.849,,0.847,,0.856,,0.775,,0.793,,0.797,,0.759,
【汇总】MAPE(%),,,21.828,,21.143,,21.67,,21.869,,21.951,,23.098,,22.753,,22.826,,22.14,,22.398,,22.622,,22.2,,26.437,,25.947,,25.587,,28.625,
【汇总】t_p(均值检验),,,0.353,,0.459,,0.461,,0.475,,0.382,,0.402,,0.365,,0.393,,0.452,,0.407,,0.375,,0.455,,0.743,,0.74,,0.761,,0.711,
【汇总】均值检验结论,,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,
【汇总】F_p(方差检验),,,0.341,,0.49,,0.391,,0.386,,0.433,,0.374,,0.363,,0.353,,0.419,,0.379,,0.347,,0.428,,0.293,,0.373,,0.377,,0.239,
【汇总】方差检验结论,,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,
【汇总】Levene_p,,,0.507,,0.555,,0.528,,0.522,,0.461,,0.387,,0.392,,0.388,,0.451,,0.421,,0.388,,0.473,,0.395,,0.456,,0.448,,0.365,
【汇总】Levene检验结论,,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,,通过,
【汇总】MAE_vs参数1(30年),,,0.635,,0.665,,0.708,,0.715,,0.952,,0.967,,0.967,,0.978,,0.981,,0.987,,0.992,,0.996,,2.122,,2.127,,2.131,,2.283,
