大类,部门名称,组织员人数,编制人数,本科生,研究生,留学生人数,长期留学生人数,折合学生数,在编-教师,公共课学分,公共课数量,是否公共课,预算约束人数
理,物理科学与工程学院,1,6,500,533,17,7,1302.3,110,40.5,15,1,10
理,数学科学学院,1,6,467,257,16,6,854.9,82,101,22,1,7
理,化学科学与工程学院,1,7,260,395,5,5,854.5,65,30,12,1,7
理,海洋与地球科学学院,1,8,194,375,22,22,765.3,92,0,0,0,8
理,生命科学与技术学院,1,8,337,644,17,10,1307,109,0,0,0,11
工,机械工程与机器人学院,2,11,991,759,51,48,2148.7,62,23,8,1,16
工,测绘与地理信息学院,1,5,341,393,17,2,931.3,57,5,2,1,6
工,计算机科学与技术学院（软件学院）,2,12,1491,816,118,89,2750.6,124,33.5,14,1,15
工,汽车与能源学院,2,11,1021,1132,13,8,2722.2,118,0,0,0,13
工,材料科学与工程学院,1,9,491,688,16,15,1529,92,2,1,1,11
工,电子与信息工程学院,2,16,1685,1201,163,97,3525.3,219,14,5,1,20
工,环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,2,17,375,1278,248,202,2372.8,162,0,0,0,16
工,土木工程学院,5,27,882,2716,489,375,5106,273,7,3,1,33
工,交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,2,20,975,1490,104,47,3228.8,192,0,0,0,22
工,建筑与城市规划学院,3,20,822,1362,720,381,3017.4,232,0,0,0,22
工,航空航天与力学学院,1,7,433,375,13,7,998.3,80,17,5,1,7
工,中德工程学院，职业技术教育学院,1,5,640,94,236,107,823.8,26,0,0,0,5
医,医学院,4,22,1227,2903,218,184,5655.1,139,0,0,0,30
文,设计创意学院,1,9,470,322,181,142,1009.8,55,0,0,0,8
文,人文学院,1,7,312,305,18,16,775.9,92,2,1,1,7
文,外国语学院,1,12,370,249,14,13,748.7,148,54,25,1,11
文,经济与管理学院,2,22,931,1240,558,532,3003.8,168,2,1,1,21
文,政治与国际关系学院,1,3,211,204,67,59,540.6,46,0,0,0,4
文,艺术与传媒学院,1,7,618,258,85,73,1034.2,75,6,2,1,7
文,上海国际知识产权学院,1,4,0,244,79,79,397.6,29,0,0,0,3
文,马克思主义学院,1,8,112,208,0,0,424,67,25,13,1,6
文,国际文化交流学院,1,4,99,23,886,765,439.5,24,0,0,0,4
文,法学院,1,6,324,238,42,42,697.8,52,0,0,0,4
文,体育部（国际足球学院）,1,11,225,119,9,6,405.9,93,0,0,0,8
医,医学与生命科学部,1,2,0,0,0,0,0,0,0,0,0,0
文,出国培训学院，留德预备部,0,0,0,0,0,0,0,6,0,0,0,0
文,网络教育学院，继续教育学院,1,9,0,0,101,6,2.4,8,0,0,0,0
文,中德学院,1,3,0,1,0,0,1.5,1,0,0,0,0
文,创新创业学院,1,8,0,0,0,0,0,1,0,0,0,0
工,新生院,1,3,48,0,0,0,48,0,0,0,0,0
工,国豪书院（未来技术学院）,2,8,1600,0,0,0,1600,0,0,0,0,0
工,国家卓越工程师学院，国际工程师学院,1,7,0,0,0,0,0,0,0,0,0,0
工,中意工程创新学院,1,4,0,0,0,0,0,0,0,0,0,0
工,启迪书院,1,4,589,0,0,0,589,0,0,0,0,0
医,口腔医学院,1,0,256,189,8,8,542.7,0,0,0,0,0
工,上海自主智能无人系统科学中心,2,11,0,431,4,1,646.9,12,0,0,0,0
文,同济大学上海国际设计创新学院,0,0,0,177,0,0,265.5,0,0,0,0,0
